breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Birthday,-1,0.7273174909492888,0.0555555555555555,Trend,Shape,0.0404065272749604,Count of persons,14,475,"[-0.1318514568861137, -0.13415446690514707]","[0.013523002111716498, -0.00722175519949628]","[-0.1153933027810449, -0.018813300846251074]","[5.001006126403809, 4.574331283569336]",5.001006126403809,4.574331283569336,"[0.6786205422325355, 0.7769461677904717]","[0.016233766339397597, -0.005562198968169477]","[-0.580787323374273, -0.7025732030521374]","[6.723796367645264, 11.42227840423584]"
Age Group,Young;*,1.0,0.0555555555555555,Correlation,Compound Shape,0.0555555555555555,Count of persons,242,475,"[-0.13185145688611355, -0.13415446690514699]","[0.013523002111716498, -0.007221755199496245]","[-0.11539330278104491, -0.018813300846251105]","[5.002100467681885, 4.572643280029297]",5.002100467681885,4.572643280029297,"[0.6786205422325355, 0.7769461677904717]","[0.015669368717872265, -0.005293068039272946]","[-0.5807873233742736, -0.7025732030521379]","[6.722747325897217, 11.422852516174316]"
Birthday,-1,0.975593298157552,0.0333333333333333,Trend,Shape,0.0325197766052517,Count of persons,15,1463,"[-0.17113296526444854, -0.0627766081151844]","[-0.012293972616717509, 0.0033299185741932007]","[0.008582181927880014, -0.03570956737804111]","[-3.841857433319092, 1.9335912466049194]",-3.841857433319092,1.9335912466049197,"[1.1838598307120995, -1.292643830837903]","[-0.012300755180867267, -0.008174296511798388]","[-1.5639432486116231, -1.6870074511835589]","[-1.9038121700286865, -1.3966524600982666]"
Birthday,-1,0.9664853273183094,0.0333333333333333,Trend,Shape,0.0322161775772769,Count of persons,16,1440,"[-0.14884724057822885, -0.10467783675273487]","[0.0023417105825537586, -0.008195575521243115]","[-0.11486728523428223, 0.0053601460285896685]","[0.5501385927200317, 2.5843491554260254]",0.5501385927200317,2.5843491554260254,"[0.5608302865791356, 0.08811382960040312]","[0.011231892626242886, -0.0034289855420062618]","[2.5190964058761964, 1.7469283115422716]","[5.017683029174805, 3.8118605613708496]"
Birthday,-1,0.9934364321912498,0.0333333333333333,Trend,Shape,0.0331145477397083,Count of persons,17,1461,"[-0.17662580290985172, -0.062158965523479]","[-0.013175553201944853, 0.0046353989826362066]","[-0.020717889699076238, -0.01666023670383984]","[-3.0255420207977295, 2.258760452270508]",-3.025542020797729,2.2587604522705083,"[1.064543762760319, -1.3514354643876791]","[-0.012114468415040094, -0.007836915278511337]","[-0.9321253145757982, 0.9099629861400141]","[-1.044783353805542, 1.2772555351257324]"
Birthday,-1,0.6984873147800821,0.0555555555555555,Trend,Shape,0.0388048508211156,Count of persons,18,1342,"[-0.11866455881192038, -0.14046653114574204]","[0.013545393075890031, -0.007403481225413022]","[-0.11975091336001051, -0.033567858770298414]","[6.249360084533691, 2.7709691524505615]",6.249360084533691,2.770969152450561,"[-0.4980997776178496, 0.3561048468882371]","[0.014939146455798231, -0.0046069614135617375]","[-0.5807873233742717, -0.7025732030521368]","[4.039445400238037, 13.244682312011719]"
Birthday,-1,0.3167495893287765,0.1111111111111111,Trend,Shape,0.0351943988143085,Count of persons,19,929,"[-0.010671602011343047, -0.1556399466988511]","[0.023256603715725018, 0.00030381865731406046]","[0.020451499564781626, 0.0018793241422736578]","[3.214839458465576, 10.252229690551758]",3.214839458465576,10.252229690551758,"[1.162175989909283, 2.0514900245804575]","[0.02592746066879196, -0.011927227975213311]","[6.840838818246691, -1.27674641983892]","[13.383365631103516, 5.764644145965576]"
Marital Status,Never married,1.0,0.1111111111111111,Top1,Point,0.1111111111111111,Count of persons,69,929,"[-0.010671602011343047, -0.1556399466988511]","[0.023256603715724997, 0.0003038186573140665]","[0.020451499564781615, 0.0018793241422736542]","[3.603544235229492, 9.910983085632324]",3.6035442352294917,9.910983085632324,"[1.1653752263818056, 2.0507161907704186]","[0.025696857114169174, -0.011759180985538076]","[6.840838818246694, -1.2767464198389193]","[14.07394027709961, 5.486835956573486]"
Birthday,2001,0.8982535672312324,0.1111111111111111,Outlier,Shape,0.0998059519145813,Count of persons,128,929,"[-0.010671602011343047, -0.1556399466988511]","[0.02280077356244641, -0.0008775168380993979]","[0.020451499564781598, 0.0018793241422736433]","[4.470341205596924, 11.070952415466309]",4.470341205596924,11.070952415466307,"[1.162175989909283, 2.0514900245804575]","[0.025927460668791966, -0.011927227975213311]","[6.840838818246693, -1.27674641983892]","[14.156167984008789, 6.185744762420654]"
Marital Status,Never married,0.9506161288155656,0.1111111111111111,Attribution,Point,0.1056240143128406,Count of persons,162,929,"[-0.010671602011343043, -0.155639946698851]","[0.022800773562446416, -0.00087751683809939]","[0.020451499564781612, 0.0018793241422736433]","[3.1879043579101562, 10.782076835632324]",3.187904357910156,10.782076835632324,"[1.162175989909281, 2.0514900245804606]","[0.024159432281239943, -0.011000189325437995]","[6.840838818246693, -1.276746419838919]","[13.711371421813965, 4.97317361831665]"
