breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
date,2021/2/10,0.921965469,0.005229955,outlier,shape,0.004821838,cases,164,84,"[-0.011189074844219995, -0.04550693796720777]","[-0.009784091437132625, 0.00902735190392945]","[-0.004388178595815515, -0.0010984072914302623]","[4.497237205505371, -2.6298463344573975]",4.497237205505371,-2.6298463344573975,"[-10.791344993180726, -12.685558646094343]","[-0.00456849816560868, -0.0015044866232435217]","[-2.8250581110971615, -2.1719656091043653]","[-3.748830795288086, -3.0034139156341553]"
date,-1,0.986194871,0.004183964,trend,shape,0.004126203,cases,12,355,"[-0.013708352046441906, -0.04652009229173348]","[-0.0069820313161305, 0.003386347051499958]","[-0.0020288867046547375, -0.0019559457177538674]","[-2.663860321044922, -1.6806615591049194]",-2.663860321044922,-1.6806615591049194,"[-16.862049939100043, -8.255236263230596]","[-0.006248080910666483, 0.027094255327475527]","[-2.9827959910651236, -1.9637229111901606]","[4.431313991546631, -6.589048862457275]"
date,2021/1/15,0.999999669,0.004183964,change point,shape,0.004183962,cases,102,355,"[-0.013708352046283734, -0.04652009229154362]","[-0.0069820313161304765, 0.0033863470514999454]","[-0.0020288867046547383, -0.0019559457177538674]","[-2.663860321044922, -1.6806615591049194]",-2.663860321044922,-1.6806615591049194,"[-16.862049939271472, -8.255236263098714]","[-0.006248080910666491, 0.027094255327475527]","[-2.9827959910651236, -1.9637229111901608]","[4.431307792663574, -6.589057445526123]"
date,2021/2/10,0.927623679,0.004183964,outlier,shape,0.003881144,cases,161,355,"[-0.013708352023054683, -0.04652009226360735]","[-0.0073481885384077015, 0.004028928220328735]","[-0.0020288867046547397, -0.0019559457177538665]","[-2.663860559463501, -1.6806617975234985]",-2.663860559463501,-1.6806617975234985,"[-16.86204993910371, -8.255236263227848]","[-0.006248080910666471, 0.02709425532747552]","[-2.9827959910651227, -1.9637229111901608]","[4.431314468383789, -6.589048385620117]"
date,-1,0.985269216,0.006275945,trend,shape,0.006183496,cases,13,228,"[-0.016732269652530725, -0.040967551110436214]","[-0.011084731798207847, 0.013112006483855269]","[-0.004336909274720355, -0.0005854978742460445]","[-8.300455093383789, -1.8970534801483154]",-8.300455093383789,-1.8970534801483154,"[-20.227323690951252, -11.199788915027405]","[-0.004475617611122123, -0.0003789353748985161]","[-2.648827593305369, -2.3958129884005213]","[-1.6485008001327515, 2.55987548828125]"
date,2021/1/15,0.999999982,0.006275945,change point,shape,0.006275945,cases,114,228,"[-0.015480253033941835, -0.04059015866144049]","[-0.011084731798207854, 0.013112006483855276]","[-0.004336909274720352, -0.000585497874246045]","[-8.300454139709473, -1.8970534801483154]",-8.300454139709473,-1.8970534801483154,"[-20.22732369095163, -11.199788915026751]","[-0.004475617611122121, -0.0003789353748985295]","[-2.648827593305369, -2.395812988400521]","[-1.6487377882003784, 2.559877395629883]"
date,2021/2/10,0.920561099,0.006275945,outlier,shape,0.005777391,cases,166,228,"[-0.016691211749944118, -0.04093382332157028]","[-0.011084731798207901, 0.013112006483855253]","[-0.004336909274720354, -0.0005854978742460431]","[-8.300454139709473, -1.8970534801483154]",-8.300454139709473,-1.8970534801483154,"[-20.227323690951252, -11.199788915027405]","[-0.0044756176111221315, -0.0003789353748985218]","[-2.6488275933053695, -2.395812988400521]","[-1.6487374305725098, 2.559877395629883]"
date,-1,0.990956287,0.005229955,trend,shape,0.005182656,cases,14,80,"[-0.012328787533710741, -0.04751948559363889]","[-0.009030040439404271, 0.007219224609619342]","[-0.004390062840548693, -0.001116356247749784]","[-1.1348587274551392, -10.294303894042969]",-1.1348587274551392,-10.294303894042969,"[-11.43852751401543, 2.690148557187459]","[-0.004475617611122123, -0.00037893537489848634]","[-2.8250581110971646, -2.1719656091043658]","[-0.24080145359039307, -8.623204231262207]"
date,2021/1/15,0.999956744,0.005229955,change point,shape,0.0052297279999999,cases,121,80,"[-0.01232777903356145, -0.047518994853677006]","[-0.00903004043940425, 0.007219224609619331]","[-0.004390062840548693, -0.0011163562477497838]","[-1.1348587274551392, -10.294303894042969]",-1.1348587274551392,-10.294303894042969,"[-11.43852751399311, 2.690148557186168]","[-0.004475617611122142, -0.00037893537489850385]","[-2.8250581110971655, -2.1719656091043658]","[-0.2408013641834259, -8.62320327758789]"
date,2021/2/10,0.927472641,0.005229955,outlier,shape,0.00485064,cases,157,80,"[-0.012327285725100584, -0.047518754592933726]","[-0.009030040439404228, 0.007219224609619397]","[-0.004390062840548692, -0.0011163562477497834]","[-1.1348587274551392, -10.294303894042969]",-1.1348587274551392,-10.294303894042969,"[-11.43852751395735, 2.690148557184132]","[-0.004475617611122147, -0.00037893537489850254]","[-2.8250581110971646, -2.1719656091043658]","[-0.24080142378807068, -8.623204231262207]"
date,-1,0.991088581,0.0073219359999999,trend,shape,0.007256688,cases,15,155,"[-0.010272112579484518, -0.04094450528932607]","[-0.011043203647374664, 0.012481525653929671]","[-0.004254553385489387, 0.002876752417604693]","[7.516968727111816, 1.2569952011108398]",7.516968727111816,1.2569952011108398,"[-23.290644615724663, -5.53334691773987]","[-0.004475617611122162, -0.00037893537489850704]","[-2.452847131890412, -2.639082524557699]","[7.251929759979248, -8.009197235107422]"
date,2021/1/20,0.999999982,0.0073219359999999,change point,shape,0.0073219359999999,cases,137,155,"[-0.010272399638191985, -0.04094427116461714]","[-0.01104320364737465, 0.012481525653929676]","[-0.004254553385489385, 0.002876752417604694]","[7.514418125152588, 1.2460863590240479]",7.514418125152588,1.2460863590240479,"[-23.29064461572737, -5.533346917811782]","[-0.004475617611122149, -0.00037893537489849593]","[-2.4528471318904117, -2.639082524557699]","[7.253445148468018, -8.006214141845703]"
date,2021/2/10,0.929688819,0.0073219359999999,outlier,shape,0.006807122,cases,162,155,"[-0.010274573891454876, -0.04094249830305079]","[-0.011043203647374647, 0.012481525653929697]","[-0.0042545533854893855, 0.002876752417604693]","[7.513917446136475, 1.2647486925125122]",7.513917446136475,1.2647486925125122,"[-9.434792708317705, 5.3688754673247425]","[-0.004475617611122146, -0.00037893537489849886]","[-2.4528471318904126, -2.639082524557699]","[7.252469539642334, -8.009854316711426]"
date,-1,0.993005606,0.004183964,trend,shape,0.004154699,cases,16,76,"[-0.013838126143590932, -0.04350005800972094]","[-0.008597338412530478, 0.00701960303271934]","[-0.004472629752723828, -0.0007605487248656909]","[0.4207219183444977, -5.5411858558654785]",0.4207219183444977,-5.5411858558654785,"[-9.019086822866136, -8.449694657868074]","[-0.004448511039771731, -0.019885175230333722]","[-2.9827959910651254, -1.9637229111901606]","[4.798541069030762, -0.34588438272476196]"
date,2021/1/15,0.999999716,0.004183964,change point,shape,0.004183962,cases,104,76,"[-0.01383812613186534, -0.04350005801621499]","[-0.008597338412530442, 0.007019603032719338]","[-0.004472629752723825, -0.0007605487248656897]","[0.42055296897888184, -5.540221214294434]",0.42055296897888184,-5.540221214294434,"[-9.019086822823144, -8.449694657437037]","[-0.004448511039771734, -0.019885175230333695]","[-2.9827959910651236, -1.9637229111901613]","[4.798541069030762, -0.34588438272476196]"
date,2021/2/10,0.959234455,0.004183964,outlier,shape,0.004013402,cases,168,76,"[-0.013838126173725065, -0.04350005799297969]","[-0.008423346408504716, 0.006638479199251031]","[-0.0044726297527238265, -0.0007605487248656897]","[0.42028623819351196, -5.539693355560303]",0.42028623819351196,-5.539693355560303,"[-9.019086822836634, -8.449694657572104]","[-0.004448511039771735, -0.019885175230333698]","[-2.9827959910651245, -1.9637229111901608]","[4.799290657043457, -0.34588879346847534]"
date,-1,0.984862998,0.006275945,trend,shape,0.006180946,cases,17,269,"[-0.01261441846622589, -0.04081141513172891]","[-0.009004819094167768, 0.007093279203766381]","[-0.004279504006242358, -0.0007958622069841298]","[6.44877815246582, -5.267033100128174]",6.44877815246582,-5.267033100128174,"[-21.120050909761314, -2.180932156062442]","[-0.004475617611122153, -0.00037893537489848845]","[-2.6488275933053718, -2.395812988400521]","[8.649081230163574, -3.1611008644104004]"
date,2021/1/15,0.999999368,0.006275945,change point,shape,0.006275942,cases,145,269,"[-0.01260891545399604, -0.04081372591705217]","[-0.009004819094167775, 0.007093279203766399]","[-0.004279504006242362, -0.0007958622069841273]","[6.449459552764893, -5.240291595458984]",6.449459552764893,-5.240291595458984,"[-17.869370193067986, 2.4587573971717607]","[-0.004475617611122145, -0.00037893537489847154]","[-2.6488275933053695, -2.395812988400521]","[8.649081230163574, -3.1611008644104004]"
date,2021/2/10,0.916978681,0.006275945,outlier,shape,0.005754908,cases,195,269,"[-0.012608925033071294, -0.04081372186162368]","[-0.009004819094167763, 0.00709327920376643]","[-0.00427950400624236, -0.0007958622069841293]","[6.44877815246582, -5.267033100128174]",6.44877815246582,-5.267033100128174,"[-3.3735908275691777, -5.814959736655505]","[-0.004475617611122148, -0.0003789353748984926]","[-2.648827593305371, -2.395812988400521]","[8.649080276489258, -3.1610982418060303]"
date,-1,0.997802434,0.004183964,trend,shape,0.004174769,cases,18,303,"[-0.012595917658923116, -0.04413776595929994]","[-0.007959935445349295, 0.005316020207749891]","[-0.004359303289182056, -0.0007071542605223111]","[1.7145310640335083, -1.131024956703186]",1.7145310640335083,-1.131024956703186,"[-10.039001051605153, -0.2822047564101142]","[-0.005951977881184632, 0.025126329767417223]","[-5.1730615165609635, 10.268197496273372]","[3.4946212768554688, -2.1206490993499756]"
date,2021/1/15,1.0,0.004183964,change point,shape,0.004183964,cases,110,303,"[-0.012595918031906577, -0.04413776663291784]","[-0.008911672512081865, 0.007034277110094468]","[-0.004359303289182054, -0.0007071542605223108]","[1.7128374576568604, -1.143863558769226]",1.7128374576568604,-1.143863558769226,"[-10.039001051605643, -0.2822047564101772]","[-0.005569214033636723, 0.009061715129399194]","[-5.173061516560968, 10.268197496273377]","[3.494985580444336, -2.1207451820373535]"
date,2021/2/10,0.949099321,0.004183964,outlier,shape,0.003970997,cases,160,303,"[-0.012595917847128933, -0.04413776629886157]","[-0.008910196913371991, 0.006967822224919908]","[-0.004359303289182054, -0.0007071542605223115]","[1.7128381729125977, -1.1438645124435425]",1.7128381729125977,-1.1438645124435425,"[-10.039001051605485, -0.282204756410158]","[-0.005569214033636719, 0.009061715129399198]","[-5.173061516560966, 10.268197496273379]","[3.494626998901367, -2.1207468509674072]"
date,-1,0.987464604,0.006275945,trend,shape,0.006197274,cases,19,40,"[-0.0189785572325934, -0.0449192984548162]","[-0.012177330124479064, 0.01569062539354561]","[-0.004330028306968972, -0.0010855500194127507]","[2.031379222869873, -11.411935806274414]",2.031379222869873,-11.411935806274414,"[-21.28358575842265, -5.658044096207818]","[-0.004966620088288599, -0.0003445935548029472]","[-2.3095873625036147, 9.571185994359652]","[3.765193462371826, -9.69791316986084]"
date,2021/1/15,0.999998153,0.006275945,change point,shape,0.006275934,cases,140,40,"[-0.018978557211882845, -0.04491929939622448]","[-0.012177330124479099, 0.015690625393545606]","[-0.004330028306968974, -0.00108555001941275]","[2.031379222869873, -11.411935806274414]",2.031379222869873,-11.411935806274414,"[-19.033466117104457, 1.5069237548466254]","[-0.004966620088288587, -0.00034459355480295084]","[-2.3095873625036165, 9.571185994359654]","[3.765193223953247, -9.697914123535156]"
date,2021/2/10,0.922672842,0.006275945,outlier,shape,0.005790644,cases,169,40,"[-0.018969887740714248, -0.04509295551942641]","[-0.012177330124479057, 0.015690625393545606]","[-0.004330028306968976, -0.00108555001941275]","[2.031379222869873, -11.411935806274414]",2.031379222869873,-11.411935806274414,"[-8.0647682129913, 2.5149625664789323]","[-0.004966620088288601, -0.0003445935548029562]","[-2.3095873625036147, 9.571185994359652]","[3.765193462371826, -9.697914123535156]"
