breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
age,24,0.873854612,0.191245888,top1,point,0.167121101,PTS,338,314676,"[0.15297563137105716, -0.13011646952179748]","[-0.02114208336694456, 0.021922174829032772]","[0.0015174059471715954, 5.355299898211364e-05]","[-3.8694512844085693, 23.084716796875]",-3.8694512844085693,23.084716796875,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792352, -0.01826073373184756]","[0.6755257844912114, -0.40318526279942424]","[-7.41565465927124, 17.04404640197754]"
name,Kareem Abdul-Jabbar,0.655415947,0.191245888,top1,point,0.125345605,PTS,345,314676,"[0.15297563132366548, -0.13011646973809673]","[-0.021142083366944557, 0.021922174829032786]","[0.0015174059471715967, 5.355299898211434e-05]","[-3.7730648517608643, 22.97027587890625]",-3.7730648517608643,22.97027587890625,"[-12.66977032977098, -51.64538495910358]","[0.022737359640792362, -0.018260733731847553]","[0.6755257844912123, -0.40318526279942307]","[-7.303836822509766, 17.375497817993164]"
year,-1,0.59747269,0.195870882,trend,shape,0.117027503,PTS,27,314677,"[-0.13681067069301495, 0.07308260387182029]","[-0.00594604681731227, -0.013294604402259349]","[0.001517405947171597, 5.355299898210927e-05]","[11.561999320983887, -7.43845796585083]",11.561999320983887,-7.43845796585083,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108063, 0.007671063158034494]","[0.6755257844912134, -0.403185262799424]","[14.664067268371582, -11.058442115783691]"
year,1967,1.0,0.195870882,change point,shape,0.195870882,PTS,85,314677,"[-0.1368106699325931, 0.0730826040882734]","[-0.005946046817312264, -0.013294604402259361]","[0.0015174059471715986, 5.355299898211004e-05]","[11.569792747497559, -8.39908218383789]",11.569792747497559,-8.39908218383789,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108069, 0.007671063158034485]","[0.6755257844912121, -0.403185262799424]","[16.156063079833984, -10.663090705871582]"
year,1971,0.9307094,0.195870882,outlier,shape,0.182298871,PTS,127,314677,"[-0.1368106703947305, 0.07308260395689298]","[-0.005946046817312261, -0.013294604402259349]","[0.001517405947171599, 5.355299898211075e-05]","[11.562000274658203, -7.438457012176514]",11.562000274658203,-7.438457012176514,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108067, 0.007671063158034488]","[0.6755257844912124, -0.4031852627994243]","[15.359686851501465, -10.782125473022461]"
lg_name,NBA,0.920724191,0.195870882,attribution,point,0.1803430589999999,PTS,189,314677,"[-0.13681067052842583, 0.07308260391883258]","[-0.005946046817312264, -0.013294604402259356]","[0.0015174059471715947, 5.3552998982113616e-05]","[11.857718467712402, -8.527986526489258]",11.857718467712402,-8.527986526489258,"[46.24792040201061, 8.116175096030881]","[-0.006730736164108072, 0.007671063158034494]","[0.675525784491213, -0.40318526279942324]","[15.797211647033691, -11.266817092895508]"
team_name,-1,0.772192112,0.195870882,clustering,compound shape,0.109012057,PTS;AST,217,314677,"[-0.13681067200357636, 0.07308260349916677]","[-0.005946046817312255, -0.013294604402259344]","[0.0015174059471715943, 5.355299898210856e-05]","[11.57165241241455, -8.400566101074219]",11.57165241241455,-8.400566101074219,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108069, 0.0076710631580345036]","[0.675525784491213, -0.4031852627994242]","[15.797211647033691, -11.266817092895508]"
name,-1,0.835303948,0.195870882,clustering,compound shape,0.17370123,PTS;AST,228,314677,"[-0.13681068669930085, 0.07308259933015372]","[-0.005946046817312276, -0.013294604402259347]","[0.0015174059471715978, 5.3552998982109943e-05]","[11.333596229553223, -7.817798614501953]",11.333596229553223,-7.817798614501953,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108072, 0.007671063158034497]","[0.6755257844912121, -0.4031852627994247]","[14.664067268371582, -11.058442115783691]"
year,-1,0.8214040690000001,0.195870882,clustering,compound shape,0.144315509,PTS;AST,242,314677,"[-0.13681067061460864, 0.07308260389439014]","[-0.005946046817312264, -0.013294604402259349]","[0.0015174059471715947, 5.3552998982111e-05]","[11.342869758605957, -8.081818580627441]",11.342869758605957,-8.081818580627441,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108075, 0.007671063158034484]","[0.6755257844912121, -0.40318526279942346]","[15.890264511108398, -10.679525375366211]"
age,-1,0.998621462,0.195870882,cross measure correlation,compound,0.195600866,PTS;AST,277,314677,"[-0.13681066917903245, 0.07308260430257098]","[-0.005946046817312264, -0.013294604402259344]","[0.0015174059471715988, 5.3552998982113386e-05]","[11.557398796081543, -7.450237274169922]",11.557398796081543,-7.450237274169922,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108069, 0.007671063158034498]","[0.6755257844912125, -0.4031852627994233]","[15.224190711975098, -11.42758560180664]"
team_name,-1,0.989582472,0.195870882,cross measure correlation,compound,0.193830391,PTS;AST,282,314677,"[-0.13681066856630641, 0.07308260447651665]","[-0.005946046817312267, -0.013294604402259335]","[0.001517405947171596, 5.355299898211324e-05]","[11.857718467712402, -8.527986526489258]",11.857718467712402,-8.527986526489258,"[46.24792040201061, 8.116175096030881]","[-0.006730736164108063, 0.007671063158034497]","[0.6755257844912115, -0.40318526279942457]","[14.664067268371582, -11.058442115783691]"
name,-1,0.881758706,0.195870882,cross measure correlation,compound,0.172710855,PTS;AST,288,314677,"[-0.13681067196848654, 0.07308260350907621]","[-0.005946046817312267, -0.013294604402259349]","[0.0015174059471715952, 5.355299898211331e-05]","[11.841949462890625, -7.915177822113037]",11.841949462890625,-7.915177822113037,"[46.247920402010614, 8.116175096030888]","[-0.006730736164108063, 0.007671063158034488]","[0.6755257844912134, -0.40318526279942385]","[16.160463333129883, -10.612552642822266]"
