breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
State,NY,CO2 (kt),0.998704824,0.046846146,Top1,Point,0.046785472,79,1407,"[0.19982117468699775, -0.022755593101968154]","[0.005415763908574375, -0.006548872499015681]","[0.005670247851980602, 0.000958654150633653]","[4.342804908752441, 29.231210708618164]",4.342804908752441,29.231210708618164,"[0.412674682675153, -75.88021524776218]","[0.005786439317735108, -0.0008589781659909598]","[-0.18445435027313073, -0.005201468586043655]","[14.925772666931152, 10.261165618896484]"
Year,1995,CO2 (kt),1.0,0.046846146,Change Point,Shape,0.046846146,128,1407,"[0.17416320859905024, -0.08664539822318795]","[0.005415763908574364, -0.006548872499015678]","[0.0056702478519806004, 0.0009586541506336578]","[4.342513561248779, 29.231355667114258]",4.342513561248778,29.231355667114254,"[0.41267468267515073, -75.88021524776217]","[0.005786439317735112, -0.0008589781659909604]","[-0.18445435027313073, -0.005201468586043655]","[14.792277336120605, 10.249468803405762]"
Year,2013,CO2 (kt),0.997126411,0.046846146,Outlier,Shape,0.04671153,179,1407,"[0.19982117468644223, -0.022755593101669025]","[0.005415763908574366, -0.006548872499015691]","[0.005670247851980595, 0.0009586541506336571]","[4.342513084411621, 29.231359481811523]",4.342513084411621,29.231359481811523,"[0.412674682675153, -75.88021524776218]","[0.005786439317735112, -0.0008589781659909592]","[-0.18445435027313048, -0.00520146858604322]","[14.926158905029297, 10.26184368133545]"
Energy Source,Other,CO2 (kt),0.8561258829999999,0.046846146,Attribution,Point,0.0401061979999999,236,1407,"[0.19982117468675611, -0.02275559310183818]","[0.00541576390857437, -0.00654887249901569]","[0.005670247851980606, 0.0009586541506336611]","[4.306461334228516, 29.19452667236328]",4.3064613342285165,29.19452667236328,"[0.41267468267515317, -75.88021524776218]","[0.005786439317735115, -0.0008589781659909556]","[-0.1844543502731307, -0.005201468586043655]","[14.913849830627441, 10.51157283782959]"
Energy Source,Other,SO2 kt,0.99999397,0.046846146,Top1,Point,0.046845864,355,1407,"[0.19982117468694532, -0.022755593101940093]","[0.005415763908574373, -0.006548872499015695]","[0.005670247851980602, 0.0009586541506336562]","[4.306467056274414, 29.194517135620117]",4.306467056274413,29.19451713562012,"[0.41267468267515073, -75.88021524776217]","[0.005786439317735115, -0.0008589781659909532]","[-0.1844543502731303, -0.00520146858604322]","[14.699772834777832, 10.420981407165527]"
State,MD,SO2 kt,0.999349552,0.046846146,Top1,Point,0.046815675,360,1407,"[0.17416054812474185, -0.08664460376431686]","[0.005415763908574369, -0.00654887249901569]","[0.0056702478519806, 0.0009586541506336579]","[4.306458950042725, 29.194520950317383]",4.3064589500427255,29.194520950317386,"[0.4126746826751684, -75.88021524776221]","[0.0057864393177351125, -0.0008589781659909614]","[-0.1844543502731307, -0.005201468586042785]","[14.726702690124512, 10.468442916870117]"
Year,2010,SO2 kt,1.0,0.046846146,Change Point,Shape,0.046846146,447,1407,"[0.17416379567648826, -0.08664557342483512]","[0.005415763908574372, -0.006548872499015711]","[0.005670247851980595, 0.0009586541506336543]","[4.306458950042725, 29.194520950317383]",4.3064589500427255,29.194520950317386,"[0.4126746826751519, -75.88021524776217]","[0.005786439317735108, -0.0008589781659909637]","[-0.18445435027313103, -0.00520146858604322]","[14.939092636108398, 10.495301246643066]"
Year,2013,SO2 kt,0.990518074,0.046846146,Outlier,Shape,0.046401955,497,1407,"[0.19982117468335064, -0.02275559310000356]","[0.005415763908574379, -0.0065488724990156845]","[0.005670247851980602, 0.0009586541506336581]","[4.306458950042725, 29.194520950317383]",4.3064589500427255,29.194520950317386,"[0.41267468267515456, -75.88021524776218]","[0.005786439317735111, -0.000858978165990964]","[-0.18445435027313092, -0.00520146858604409]","[14.699772834777832, 10.420981407165527]"
State,-1,CO2 (kt);SO2 kt,1.0,0.046846146,Clustering,Compound Shape,0.038216593,610,1407,"[0.1998211746865203, -0.022755593101710908]","[0.005415763908574358, -0.00654887249901572]","[0.005670247851980604, 0.0009586541506336592]","[4.342514991760254, 29.23135757446289]",4.342514991760254,29.23135757446289,"[0.4126746826751718, -75.88021524776217]","[0.005786439317735112, -0.0008589781659909607]","[-0.18445435027313065, -0.00520146858604322]","[14.783432006835938, 10.253236770629883]"
State,TX,CO2 (kt),1.0,0.054524249000000004,Top1,Point,0.054524249000000004,80,16211,"[0.141027295463767, -0.0034269107602902566]","[0.00541576390857438, 0.0060054670426328205]","[0.005670247851980604, 0.0009586541506336483]","[6.841108798980713, -0.6220112442970276]",6.841108798980713,-0.6220112442970276,"[49.47722882052298, -17.16324896108793]","[0.005786439317735119, 0.005774391711029249]","[-0.18445435027313092, -0.00520146858604409]","[-2.2217659950256348, 3.593777894973755]"
Year,1995,CO2 (kt),1.0,0.054524249000000004,Change Point,Shape,0.054524249000000004,146,16211,"[0.14102732946504812, -0.003426865872922488]","[0.00541576390857438, 0.006005467042632818]","[0.0056702478519806004, 0.0009586541506336575]","[6.841071605682373, -0.6213997006416321]",6.841071605682372,-0.6213997006416321,"[49.477228897128704, -17.163249013173793]","[0.005786439317735112, 0.005774391711029252]","[-0.18445435027313062, -0.00520146858604322]","[-2.2217657566070557, 3.593778610229492]"
Year,1999,CO2 (kt),0.979068078,0.054524249000000004,Outlier,Shape,0.053382952000000004,187,16211,"[0.14102725625196927, -0.003426962526549867]","[0.005415763908574382, 0.006005467042632818]","[0.0056702478519806, 0.000958654150633657]","[6.841062545776367, -0.6217218041419983]",6.841062545776367,-0.6217218041419983,"[49.47722882052338, -17.163248961088357]","[0.005786439317735112, 0.005774391711029245]","[-0.18445435027313037, -0.005201468586043655]","[-2.2217657566070557, 3.593778610229492]"
State,TX,SO2 kt,1.0,0.054524249000000004,Top1,Point,0.054524249000000004,369,16211,"[0.14102733120811112, -0.0034268635717913556]","[0.005415763908574382, 0.006005467042632823]","[0.005670247851980604, 0.0009586541506336605]","[6.841156959533691, -0.6227766871452332]",6.841156959533691,-0.6227766871452332,"[49.47722882052241, -17.16324896108775]","[0.0057864393177351125, 0.005774391711029241]","[-0.18445435027313078, -0.00520146858604409]","[-2.2217657566070557, 3.593778610229492]"
