breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
date,2020-07-23T00:00:00.000000000,0.999999051,0.021791755,change point,shape,0.021791734,cases,120,116809,"[0.02087610337112083, 0.014467471099822769]","[-0.0034453054096802126, 0.004888256254913005]","[0.0025250384996545095, 0.0005619746615180596]","[-18.0899658203125, 2.490089178085327]",-18.0899658203125,2.490089178085327,"[-67.38464969767738, 6.548038048167189]","[-0.0030562115947423097, -0.008269624650584494]","[2.629064245895189, 1.5440696356921977]","[-10.839895248413086, 2.2803845405578613]"
date,2020-07-31T00:00:00.000000000,0.976279442,0.021791755,outlier,shape,0.021274842,cases,170,116809,"[0.02087610337112534, 0.014467471099636623]","[-0.003445305409680219, 0.0048882562549130305]","[0.0025250384996545103, 0.0005619746615180594]","[-17.953933715820312, 2.7837886810302734]",-17.953933715820312,2.7837886810302734,"[-67.38464969767738, 6.548038048167189]","[-0.0030562115947423024, -0.008269624650584477]","[2.629064245895191, 1.5440696356921975]","[-11.120343208312988, 2.42584490776062]"
county,-1,0.863254955,0.021791755,clustering,compound shape,0.0183502969999999,cases;deaths,306,116809,"[0.020876103371004706, 0.014467471104659265]","[-0.00344530540968023, 0.004888256254912974]","[0.0025250384996545095, 0.0005619746615180599]","[-17.680370330810547, 2.0958685874938965]",-17.680370330810547,2.0958685874938965,"[-67.38464969767738, 6.548038048167187]","[-0.0030562115947423054, -0.00826962465058448]","[2.629064245895191, 1.544069635692197]","[-11.571616172790527, 2.016531229019165]"
date,-1,1.0,0.021791755,clustering,compound shape,0.021255892,cases;deaths,311,116809,"[0.020876103376145518, 0.014467470890585891]","[-0.003445305409680219, 0.004888256254912985]","[0.0025250384996545095, 0.000561974661518059]","[-17.706571578979492, 2.8929436206817627]",-17.706571578979492,2.8929436206817627,"[-67.38464969767738, 6.548038048167189]","[-0.0030562115947423067, -0.008269624650584492]","[2.629064245895191, 1.5440696356921977]","[-11.464098930358887, 1.7006027698516846]"
county,Philadelphia,1.0,0.021791755,top1,point,0.021791755,cases,367,116809,"[0.020876103376116423, 0.014467470891796605]","[-0.003445305409680213, 0.004888256254913001]","[0.0025250384996545108, 0.0005619746615180592]","[-17.404447555541992, 2.2321536540985107]",-17.404447555541992,2.2321536540985107,"[-67.38464969868649, 6.548038045640121]","[-0.0030562115947422954, -0.008269624650584485]","[2.6290642458951927, 1.544069635692198]","[-11.175089836120605, 1.5549591779708862]"
date,-1,0.92009708,0.023695267,cross measure correlation,compound,0.021801946,cases;deaths,6,116822,"[-0.003514431834524609, -0.0032262812262214722]","[-0.005647998741260193, -0.010001337433799011]","[0.0025250384996545073, 0.0005619746615180579]","[21.022457122802734, -0.17741826176643372]",21.022457122802734,-0.17741826176643372,"[-51.63924290430922, -54.05064393488445]","[-0.0031005647627292167, -0.008123909260017133]","[2.629064245895193, 1.544069635692198]","[-11.368709564208984, -18.4643611907959]"
county,-1,0.95037947,0.023695267,cross measure correlation,compound,0.022519496,cases;deaths,20,116822,"[-0.0035144329315637594, -0.003226280769002579]","[-0.005647998741260199, -0.010001337433799015]","[0.0025250384996545086, 0.0005619746615180588]","[20.824188232421875, 0.5278975367546082]",20.824188232421875,0.5278975367546082,"[-51.63924290430922, -54.05064393488445]","[-0.003100564762729214, -0.008123909260017128]","[2.629064245895195, 1.5440696356921984]","[-10.650358200073242, -18.12778663635254]"
date,-1,0.969652854,0.023695267,trend,shape,0.022976184,cases,78,116822,"[-0.003514432931362229, -0.003226280769086558]","[-0.005647998741260191, -0.010001337433799024]","[0.0025250384996545095, 0.0005619746615180583]","[20.379735946655273, 0.22924385964870453]",20.379735946655273,0.22924385964870453,"[-51.63924290430922, -54.05064393488445]","[-0.0031005647627292184, -0.008123909260017144]","[2.629064245895195, 1.5440696356921972]","[-11.424201965332031, -17.843433380126953]"
date,2020-06-09T00:00:00.000000000,1.0,0.023695267,change point,shape,0.023695267,cases,142,116822,"[-0.003514432929006202, -0.0032262807700685066]","[-0.0056479987412601925, -0.010001337433799022]","[0.002525038499654511, 0.0005619746615180594]","[20.46638298034668, -0.12268547713756561]",20.46638298034668,-0.12268547713756561,"[-51.63924290430922, -54.05064393488445]","[-0.0031005647627292215, -0.00812390926001716]","[2.629064245895195, 1.5440696356921972]","[-11.111763000488281, -17.693069458007812]"
date,2020-07-31T00:00:00.000000000,0.978677948,0.023695267,outlier,shape,0.023190036,cases,192,116822,"[-0.003514432930525457, -0.003226280769435323]","[-0.00564799874126019, -0.010001337433799013]","[0.002525038499654511, 0.000561974661518059]","[21.08932113647461, 0.3572918176651001]",21.08932113647461,0.3572918176651001,"[-51.63924290430922, -54.05064393488445]","[-0.0031005647627292145, -0.008123909260017126]","[2.629064245895197, 1.544069635692198]","[-10.752535820007324, -18.432336807250977]"
