sid,cid
1110,45
1175,45
1245,45
1293,45
1333,45
1384,45
1430,45
1487,45
1547,45
1637,45
1727,45
0,46
39,46
83,46
124,46
165,46
225,46
290,46
360,46
405,46
448,46
498,46
545,46
592,46
662,46
752,46
842,46
887,46
925,46
969,46
1010,46
1056,46
1111,46
1176,46
1246,46
1293,46
1334,46
1384,46
1431,46
1488,46
1548,46
1638,46
1728,46
0,47
40,47
83,47
125,47
166,47
226,47
291,47
361,47
405,47
449,47
498,47
546,47
593,47
663,47
753,47
843,47
887,47
926,47
969,47
1011,47
1057,47
1112,47
1177,47
1247,47
1293,47
1335,47
1384,47
1432,47
1489,47
1549,47
1639,47
1729,47
0,48
41,48
83,48
126,48
167,48
227,48
292,48
362,48
405,48
450,48
498,48
547,48
594,48
664,48
754,48
844,48
887,48
927,48
969,48
1012,48
1058,48
1113,48
1178,48
1248,48
1293,48
1336,48
1384,48
1433,48
1490,48
1550,48
1640,48
1730,48
0,49
42,49
83,49
127,49
168,49
228,49
293,49
363,49
405,49
451,49
498,49
548,49
595,49
665,49
755,49
845,49
887,49
928,49
969,49
1013,49
1059,49
1114,49
1179,49
1249,49
1293,49
1337,49
1384,49
1434,49
1491,49
1551,49
1641,49
1731,49
0,50
43,50
84,50
128,50
164,50
229,50
294,50
364,50
404,50
452,50
499,50
549,50
586,50
666,50
756,50
846,50
887,50
929,50
970,50
1014,50
1055,50
1115,50
1180,50
1250,50
1292,50
1338,50
1385,50
1435,50
1482,50
1552,50
1642,50
1732,50
0,51
44,51
84,51
129,51
165,51
230,51
295,51
365,51
404,51
453,51
499,51
550,51
587,51
667,51
757,51
847,51
887,51
930,51
970,51
1015,51
1056,51
1116,51
1181,51
1251,51
1292,51
1339,51
1385,51
1436,51
1483,51
1553,51
1643,51
1733,51
0,52
45,52
84,52
130,52
166,52
231,52
296,52
366,52
404,52
454,52
499,52
551,52
588,52
668,52
758,52
848,52
887,52
931,52
970,52
1016,52
1057,52
1117,52
1182,52
1252,52
1292,52
1340,52
1385,52
1437,52
1484,52
1554,52
1644,52
1734,52
0,53
46,53
84,53
131,53
167,53
232,53
297,53
367,53
404,53
455,53
499,53
552,53
589,53
669,53
759,53
849,53
887,53
932,53
970,53
1017,53
1058,53
1118,53
1183,53
1253,53
1292,53
1341,53
1385,53
1438,53
1485,53
1555,53
1645,53
1735,53
0,54
47,54
84,54
132,54
168,54
233,54
298,54
368,54
404,54
456,54
499,54
553,54
590,54
670,54
760,54
850,54
887,54
933,54
970,54
1018,54
1059,54
1119,54
1184,54
1254,54
1292,54
1342,54
1385,54
1439,54
1486,54
1556,54
1646,54
1736,54
0,55
48,55
84,55
133,55
164,55
234,55
294,55
369,55
405,55
457,55
500,55
554,55
591,55
671,55
761,55
851,55
887,55
934,55
970,55
1019,55
1055,55
1120,55
1180,55
1255,55
1293,55
1343,55
1386,55
1440,55
1487,55
1557,55
1647,55
1737,55
0,56
49,56
84,56
134,56
165,56
235,56
295,56
370,56
405,56
458,56
500,56
555,56
592,56
672,56
762,56
852,56
887,56
935,56
970,56
1020,56
1056,56
1121,56
1181,56
1256,56
1293,56
1344,56
1386,56
1441,56
1488,56
1558,56
1648,56
1738,56
0,57
50,57
84,57
135,57
166,57
236,57
296,57
371,57
405,57
459,57
500,57
556,57
593,57
673,57
763,57
853,57
887,57
936,57
970,57
1021,57
1057,57
1122,57
1182,57
1257,57
1293,57
1345,57
1386,57
1442,57
1489,57
1559,57
1649,57
1739,57
0,58
51,58
84,58
136,58
167,58
237,58
297,58
372,58
405,58
460,58
500,58
557,58
594,58
674,58
764,58
854,58
887,58
937,58
970,58
1022,58
1058,58
1123,58
1183,58
1258,58
1293,58
1346,58
1386,58
1443,58
1490,58
1560,58
1650,58
1740,58
0,59
52,59
84,59
137,59
168,59
238,59
298,59
373,59
405,59
461,59
500,59
558,59
595,59
675,59
765,59
855,59
887,59
938,59
970,59
1023,59
1059,59
1124,59
1184,59
1259,59
1293,59
1347,59
1386,59
1444,59
1491,59
1561,59
1651,59
1741,59
0,60
53,60
85,60
138,60
164,60
239,60
299,60
374,60
404,60
462,60
501,60
559,60
586,60
676,60
766,60
856,60
888,60
939,60
971,60
1024,60
1060,60
1125,60
1185,60
1260,60
1294,60
1348,60
1387,60
1445,60
1492,60
1562,60
1652,60
1742,60
0,61
54,61
85,61
139,61
165,61
240,61
300,61
375,61
404,61
463,61
501,61
560,61
587,61
677,61
767,61
857,61
888,61
940,61
971,61
1025,61
1061,61
1126,61
1186,61
1261,61
1294,61
1349,61
1387,61
1446,61
1493,61
1563,61
1653,61
1743,61
0,62
55,62
85,62
140,62
166,62
241,62
301,62
376,62
404,62
464,62
501,62
561,62
588,62
678,62
768,62
858,62
888,62
941,62
971,62
1026,62
1062,62
1127,62
1187,62
1262,62
1294,62
1350,62
1387,62
1447,62
1494,62
1564,62
1654,62
1744,62
0,63
56,63
85,63
141,63
167,63
242,63
302,63
377,63
404,63
465,63
501,63
562,63
589,63
679,63
769,63
859,63
888,63
942,63
971,63
1027,63
1063,63
1128,63
1188,63
1263,63
1294,63
1351,63
1387,63
1448,63
1495,63
1565,63
1655,63
1745,63
0,64
57,64
85,64
142,64
168,64
243,64
303,64
378,64
404,64
466,64
501,64
563,64
590,64
680,64
770,64
860,64
888,64
943,64
971,64
1028,64
1064,64
1129,64
1189,64
1264,64
1294,64
1352,64
1387,64
1449,64
1496,64
1566,64
1656,64
1746,64
0,65
58,65
85,65
143,65
164,65
244,65
299,65
379,65
405,65
467,65
502,65
564,65
591,65
681,65
771,65
861,65
888,65
944,65
971,65
1029,65
1060,65
1130,65
1185,65
1265,65
1295,65
1353,65
1388,65
1450,65
1497,65
1567,65
1657,65
1747,65
0,66
59,66
85,66
144,66
165,66
245,66
300,66
380,66
405,66
468,66
502,66
565,66
592,66
682,66
772,66
862,66
888,66
945,66
971,66
1030,66
1061,66
1131,66
1186,66
1266,66
1295,66
1354,66
1388,66
1451,66
1498,66
1568,66
1658,66
1748,66
0,67
60,67
85,67
145,67
166,67
246,67
301,67
381,67
405,67
469,67
502,67
566,67
593,67
683,67
773,67
863,67
888,67
946,67
971,67
1031,67
1062,67
1132,67
1187,67
1267,67
1295,67
1355,67
1388,67
1452,67
1499,67
1569,67
1659,67
1749,67
0,68
61,68
85,68
146,68
167,68
247,68
302,68
382,68
405,68
470,68
502,68
567,68
594,68
684,68
774,68
864,68
888,68
947,68
971,68
1032,68
1063,68
1133,68
1188,68
1268,68
1295,68
1356,68
1388,68
1453,68
1500,68
1570,68
1660,68
1750,68
0,69
62,69
85,69
147,69
168,69
248,69
303,69
383,69
405,69
471,69
502,69
568,69
595,69
685,69
775,69
865,69
888,69
948,69
971,69
1033,69
1064,69
1134,69
1189,69
1269,69
1295,69
1357,69
1388,69
1454,69
1501,69
1571,69
1661,69
1751,69
0,70
63,70
86,70
148,70
164,70
249,70
304,70
384,70
404,70
472,70
503,70
569,70
586,70
686,70
776,70
866,70
888,70
949,70
972,70
1034,70
1060,70
1135,70
1190,70
1270,70
1294,70
1358,70
1389,70
1455,70
1492,70
1572,70
1662,70
1752,70
0,71
64,71
86,71
149,71
165,71
250,71
305,71
385,71
404,71
473,71
503,71
570,71
587,71
687,71
777,71
867,71
888,71
950,71
972,71
1035,71
1061,71
1136,71
1191,71
1271,71
1294,71
1359,71
1389,71
1456,71
1493,71
1573,71
1663,71
1753,71
0,72
65,72
86,72
150,72
166,72
251,72
306,72
386,72
404,72
474,72
503,72
571,72
588,72
688,72
778,72
868,72
888,72
951,72
972,72
1036,72
1062,72
1137,72
1192,72
1272,72
1294,72
1360,72
1389,72
1457,72
1494,72
1574,72
1664,72
1754,72
0,73
66,73
86,73
151,73
167,73
252,73
307,73
387,73
404,73
475,73
503,73
572,73
589,73
689,73
779,73
869,73
888,73
952,73
972,73
1037,73
1063,73
1138,73
1193,73
1273,73
1294,73
1361,73
1389,73
1458,73
1495,73
1575,73
1665,73
1755,73
0,74
67,74
86,74
152,74
168,74
253,74
308,74
388,74
404,74
476,74
503,74
573,74
590,74
690,74
780,74
870,74
888,74
953,74
972,74
1038,74
1064,74
1139,74
1194,74
1274,74
1294,74
1362,74
1389,74
1459,74
1496,74
1576,74
1666,74
1756,74
0,75
68,75
86,75
153,75
164,75
254,75
304,75
389,75
405,75
477,75
504,75
574,75
591,75
691,75
781,75
871,75
888,75
954,75
972,75
1039,75
1060,75
1140,75
1190,75
1275,75
1295,75
1363,75
1390,75
1460,75
1497,75
1577,75
1667,75
1757,75
0,76
69,76
86,76
154,76
165,76
255,76
305,76
390,76
405,76
478,76
504,76
575,76
592,76
692,76
782,76
872,76
888,76
955,76
972,76
1040,76
1061,76
1141,76
1191,76
1276,76
1295,76
1364,76
1390,76
1461,76
1498,76
1578,76
1668,76
1758,76
0,77
70,77
86,77
155,77
166,77
256,77
306,77
391,77
405,77
479,77
504,77
576,77
593,77
693,77
783,77
873,77
888,77
956,77
972,77
1041,77
1062,77
1142,77
1192,77
1277,77
1295,77
1365,77
1390,77
1462,77
1499,77
1579,77
1669,77
1759,77
0,78
71,78
86,78
156,78
167,78
257,78
307,78
392,78
405,78
480,78
504,78
577,78
594,78
694,78
784,78
