Year,Brand,Body,Engine Type,Model,Registration,sid
*,Mitsubishi,crossover,*,*,*,711
*,Volkswagen,crossover,*,*,*,712
*,Mercedes-Benz,other,*,*,*,713
*,Mitsubishi,hatch,*,*,*,714
*,BMW,crossover,*,*,*,716
*,Volkswagen,van,*,*,*,717
*,Toyota,sedan,*,*,*,718
*,Audi,other,*,*,*,719
*,Mitsubishi,sedan,*,*,*,721
*,Renault,van,*,*,*,722
*,Volkswagen,vagon,*,*,*,723
*,Audi,hatch,*,*,*,726
*,Renault,other,*,*,*,727
*,Mercedes-Benz,hatch,*,*,*,730
*,Renault,crossover,*,*,*,731
*,BMW,vagon,*,*,*,733
*,Mitsubishi,other,*,*,*,738
*,Toyota,hatch,*,*,*,739
*,Toyota,van,*,*,*,744
*,Mercedes-Benz,vagon,*,*,*,748
*,Toyota,vagon,*,*,*,749
*,BMW,hatch,*,*,*,752
*,Mitsubishi,vagon,*,*,*,757
*,Audi,van,*,*,*,763
*,Mitsubishi,van,*,*,*,764
1991,BMW,sedan,*,*,*,770
1999,Mercedes-Benz,van,*,*,*,771
2003,Mercedes-Benz,sedan,*,*,*,772
2007,Audi,crossover,*,*,*,773
2011,Toyota,crossover,*,*,*,774
2016,Mercedes-Benz,crossover,*,*,*,775
1997,BMW,sedan,*,*,*,776
2006,Audi,vagon,*,*,*,777
2012,Renault,vagon,*,*,*,778
1999,Volkswagen,other,*,*,*,779
2011,Renault,vagon,*,*,*,780
1994,Renault,sedan,*,*,*,781
2003,Audi,vagon,*,*,*,782
2008,Volkswagen,sedan,*,*,*,783
2001,Toyota,crossover,*,*,*,784
2012,Renault,hatch,*,*,*,785
2001,BMW,other,*,*,*,786
2007,Mercedes-Benz,van,*,*,*,787
2013,Toyota,crossover,*,*,*,788
1998,Audi,vagon,*,*,*,789
2016,Toyota,other,*,*,*,790
2006,Volkswagen,hatch,*,*,*,791
1998,Audi,sedan,*,*,*,792
2006,Mitsubishi,crossover,*,*,*,793
2008,Audi,sedan,*,*,*,794
2008,Volkswagen,crossover,*,*,*,795
1999,Audi,sedan,*,*,*,796
2011,Mercedes-Benz,other,*,*,*,797
2010,Mitsubishi,hatch,*,*,*,798
1989,Audi,sedan,*,*,*,799
2007,BMW,other,*,*,*,800
2008,Mitsubishi,crossover,*,*,*,801
2008,BMW,crossover,*,*,*,802
2009,Volkswagen,van,*,*,*,803
2006,Toyota,sedan,*,*,*,804
1996,BMW,sedan,*,*,*,805
2016,BMW,crossover,*,*,*,806
2014,Audi,other,*,*,*,807
2000,Audi,sedan,*,*,*,808
2004,Mercedes-Benz,van,*,*,*,809
2009,Mercedes-Benz,crossover,*,*,*,810
1998,BMW,sedan,*,*,*,811
2006,Mercedes-Benz,van,*,*,*,812
2008,Toyota,sedan,*,*,*,813
2012,BMW,crossover,*,*,*,814
1987,Mitsubishi,sedan,*,*,*,815
1990,BMW,sedan,*,*,*,816
2008,Mercedes-Benz,sedan,*,*,*,817
2007,Mercedes-Benz,sedan,*,*,*,818
2014,Renault,van,*,*,*,819
2008,Mercedes-Benz,crossover,*,*,*,820
2001,Mercedes-Benz,sedan,*,*,*,821
2008,Mercedes-Benz,van,*,*,*,822
2005,Toyota,sedan,*,*,*,823
2006,Volkswagen,vagon,*,*,*,824
2007,BMW,crossover,*,*,*,825
2010,BMW,sedan,*,*,*,826
1995,BMW,other,*,*,*,827
2002,Renault,van,*,*,*,828
2015,BMW,crossover,*,*,*,829
1995,BMW,sedan,*,*,*,830
2006,Mercedes-Benz,sedan,*,*,*,831
2008,Renault,van,*,*,*,832
2005,Mercedes-Benz,van,*,*,*,833
2015,Audi,crossover,*,*,*,834
2007,Mitsubishi,sedan,*,*,*,835
2003,Audi,sedan,*,*,*,836
2000,Mercedes-Benz,sedan,*,*,*,838
2008,Renault,vagon,*,*,*,839
2011,Mercedes-Benz,sedan,*,*,*,840
2006,BMW,sedan,*,*,*,841
2001,Volkswagen,sedan,*,*,*,842
2012,Volkswagen,van,*,*,*,843
2004,Audi,hatch,*,*,*,844
2003,Toyota,crossover,*,*,*,845
2012,Mercedes-Benz,sedan,*,*,*,846
2002,Volkswagen,van,*,*,*,847
2014,Volkswagen,hatch,*,*,*,848
1999,BMW,sedan,*,*,*,849
2009,Renault,van,*,*,*,850
2004,Renault,vagon,*,*,*,851
2006,Audi,sedan,*,*,*,852
2009,Toyota,sedan,*,*,*,853
2007,Mercedes-Benz,crossover,*,*,*,854
2000,Audi,vagon,*,*,*,855
2008,Mitsubishi,sedan,*,*,*,856
1992,Mercedes-Benz,sedan,*,*,*,857
2011,Renault,other,*,*,*,858
1988,BMW,sedan,*,*,*,859
2014,Volkswagen,crossover,*,*,*,860
2003,Renault,van,*,*,*,861
2004,Volkswagen,other,*,*,*,862
2012,Renault,van,*,*,*,863
2011,Mitsubishi,crossover,*,*,*,864
2015,Audi,sedan,*,*,*,866
2002,Toyota,crossover,*,*,*,867
2010,BMW,crossover,*,*,*,868
1994,BMW,sedan,*,*,*,869
2014,BMW,other,*,*,*,870
2005,Toyota,crossover,*,*,*,871
2012,Mitsubishi,sedan,*,*,*,872
2007,Volkswagen,sedan,*,*,*,873
2010,Renault,van,*,*,*,874
1986,Mitsubishi,sedan,*,*,*,875
2014,BMW,sedan,*,*,*,876
1994,Volkswagen,other,*,*,*,877
2002,BMW,crossover,*,*,*,878
2014,Mercedes-Benz,sedan,*,*,*,879
2005,Mercedes-Benz,hatch,*,*,*,880
2008,Toyota,crossover,*,*,*,881
2013,Volkswagen,hatch,*,*,*,882
2010,Renault,crossover,*,*,*,883
2001,Volkswagen,van,*,*,*,884
2016,Toyota,crossover,*,*,*,885
2013,Volkswagen,sedan,*,*,*,886
2011,Volkswagen,other,*,*,*,887
2005,BMW,sedan,*,*,*,888
2002,BMW,other,*,*,*,889
2008,BMW,other,*,*,*,890
2010,Mercedes-Benz,sedan,*,*,*,891
1980,Audi,sedan,*,*,*,892
2003,BMW,sedan,*,*,*,893
2011,Audi,other,*,*,*,894
2016,Mercedes-Benz,van,*,*,*,895
2008,Volkswagen,van,*,*,*,896
2006,Audi,other,*,*,*,897
2005,Mercedes-Benz,crossover,*,*,*,898
2005,BMW,crossover,*,*,*,899
2011,Volkswagen,crossover,*,*,*,900
2001,Volkswagen,hatch,*,*,*,901
2002,BMW,sedan,*,*,*,902
2013,Mercedes-Benz,sedan,*,*,*,903
2006,Volkswagen,other,*,*,*,904
2012,Toyota,crossover,*,*,*,905
2000,BMW,vagon,*,*,*,906
1999,Renault,van,*,*,*,907
2000,BMW,sedan,*,*,*,908
