date,county,state,sid
2021/1/20,Twiggs,*,917
2021/1/20,Upson,*,918
2021/1/20,Ware,*,919
2021/1/20,Warren,*,920
2021/1/20,Wayne,*,921
2021/1/20,Webster,*,922
2021/1/20,Wheeler,*,923
2021/1/20,White,*,924
2021/1/20,Whitfield,*,925
2021/1/20,Wilkes,*,926
2021/1/20,Wilkinson,*,927
2021/1/20,Worth,*,928
2021/1/20,Adair,*,929
2021/1/20,Allen,*,930
2021/1/20,Anderson,*,931
2021/1/20,Ballard,*,932
2021/1/20,Barren,*,933
2021/1/20,Bath,*,934
2021/1/20,Bell,*,935
2021/1/20,Boone,*,936
2021/1/20,Bourbon,*,937
2021/1/20,Boyd,*,938
2021/1/20,Boyle,*,939
2021/1/20,Bracken,*,940
2021/1/20,Breathitt,*,941
2021/1/20,Breckinridge,*,942
2021/1/20,Bullitt,*,943
2021/1/20,Caldwell,*,944
2021/1/20,Calloway,*,945
2021/1/20,Campbell,*,946
2021/1/20,Carlisle,*,947
2021/1/20,Carter,*,948
2021/1/20,Casey,*,949
2021/1/20,Christian,*,950
2021/1/20,Clark,*,951
2021/1/20,Clinton,*,952
2021/1/20,Crittenden,*,953
2021/1/20,Cumberland,*,954
2021/1/20,Daviess,*,955
2021/1/20,Edmonson,*,956
2021/1/20,Elliott,*,957
2021/1/20,Estill,*,958
2021/1/20,Fleming,*,959
2021/1/20,Gallatin,*,960
2021/1/20,Garrard,*,961
2021/1/20,Grant,*,962
2021/1/20,Graves,*,963
2021/1/20,Grayson,*,964
2021/1/20,Green,*,965
2021/1/20,Greenup,*,966
2021/1/20,Hardin,*,967
2021/1/20,Harlan,*,968
2021/1/20,Harrison,*,969
2021/1/20,Henderson,*,970
2021/1/20,Hickman,*,971
2021/1/20,Hopkins,*,972
2021/1/20,Jessamine,*,973
2021/1/20,Kenton,*,974
2021/1/20,Knott,*,975
2021/1/20,Knox,*,976
2021/1/20,Larue,*,977
2021/1/20,Laurel,*,978
2021/1/20,Leslie,*,979
2021/1/20,Letcher,*,980
2021/1/20,Lewis,*,981
2021/1/20,Livingston,*,982
2021/1/20,Logan,*,983
2021/1/20,Lyon,*,984
2021/1/20,Magoffin,*,985
2021/1/20,Mason,*,986
2021/1/20,McCracken,*,987
2021/1/20,McCreary,*,988
2021/1/20,McLean,*,989
2021/1/20,Meade,*,990
2021/1/20,Menifee,*,991
2021/1/20,Mercer,*,992
2021/1/20,Metcalfe,*,993
2021/1/20,Muhlenberg,*,994
2021/1/20,Nelson,*,995
2021/1/20,Nicholas,*,996
2021/1/20,Ohio,*,997
2021/1/20,Oldham,*,998
2021/1/20,Owen,*,999
2021/1/20,Owsley,*,1000
2021/1/20,Pendleton,*,1001
2021/1/20,Powell,*,1002
2021/1/20,Robertson,*,1003
2021/1/20,Rockcastle,*,1004
2021/1/20,Rowan,*,1005
2021/1/20,Scott,*,1006
2021/1/20,Simpson,*,1007
2021/1/20,Spencer,*,1008
2021/1/20,Todd,*,1009
2021/1/20,Trigg,*,1010
2021/1/20,Trimble,*,1011
2021/1/20,Whitley,*,1012
2021/1/20,Wolfe,*,1013
2021/1/20,Woodford,*,1014
2021/1/20,Allegany,*,1015
2021/1/20,Anne Arundel,*,1016
2021/1/20,Baltimore,*,1017
2021/1/20,Baltimore city,*,1018
2021/1/20,Calvert,*,1019
2021/1/20,Caroline,*,1020
2021/1/20,Cecil,*,1021
2021/1/20,Charles,*,1022
2021/1/20,Dorchester,*,1023
2021/1/20,Frederick,*,1024
2021/1/20,Garrett,*,1025
2021/1/20,Harford,*,1026
2021/1/20,Howard,*,1027
2021/1/20,Prince Georges,*,1028
2021/1/20,Queen Annes,*,1029
2021/1/20,Somerset,*,1030
2021/1/20,St. Marys,*,1031
2021/1/20,Wicomico,*,1032
2021/1/20,Worcester,*,1033
2021/1/20,Adams,*,1034
2021/1/20,Alcorn,*,1035
2021/1/20,Amite,*,1036
2021/1/20,Attala,*,1037
2021/1/20,Benton,*,1038
2021/1/20,Bolivar,*,1039
2021/1/20,Chickasaw,*,1040
2021/1/20,Claiborne,*,1041
2021/1/20,Coahoma,*,1042
2021/1/20,Copiah,*,1043
2021/1/20,Forrest,*,1044
2021/1/20,George,*,1045
2021/1/20,Grenada,*,1046
2021/1/20,Hinds,*,1047
2021/1/20,Humphreys,*,1048
2021/1/20,Issaquena,*,1049
2021/1/20,Itawamba,*,1050
2021/1/20,Jefferson Davis,*,1051
2021/1/20,Kemper,*,1052
2021/1/20,Leake,*,1053
2021/1/20,Leflore,*,1054
2021/1/20,Neshoba,*,1055
2021/1/20,Noxubee,*,1056
2021/1/20,Oktibbeha,*,1057
2021/1/20,Panola,*,1058
2021/1/20,Pearl River,*,1059
2021/1/20,Pontotoc,*,1060
2021/1/20,Prentiss,*,1061
2021/1/20,Rankin,*,1062
2021/1/20,Sharkey,*,1063
