Year,State,Producer Type,Energy Source,CO2 (kt),SO2 kt,cid
1996,ND,Industrial Cogen,Coal,416.584,1.221,31279
1997,ND,Industrial Cogen,Coal,489.412,1.877,31280
1998,ND,Industrial Cogen,Coal,491.307,1.635,31281
1999,ND,Industrial Cogen,Coal,504.974,2.799,31282
2000,ND,Industrial Cogen,Coal,614.856,3.493,31283
2001,ND,Industrial Cogen,Coal,360.766,1.241,31284
2002,ND,Industrial Cogen,Coal,353.987,0.576,31285
2003,ND,Industrial Cogen,Coal,351.947,1.225,31286
2004,ND,Industrial Cogen,Coal,417.694,1.627,31287
2005,ND,Industrial Cogen,Coal,497.154,0.859,31288
2006,ND,Industrial Cogen,Coal,509.635,1.673,31289
2007,ND,Industrial Cogen,Coal,531.566,1.583,31290
2008,ND,Industrial Cogen,Coal,520.034,3.503,31291
2009,ND,Industrial Cogen,Coal,536.058,3.178,31292
2010,ND,Industrial Cogen,Coal,502.617,3.026,31293
2011,ND,Industrial Cogen,Coal,438.183,2.722,31294
2012,ND,Industrial Cogen,Coal,488.796,1.417,31295
2013,ND,Industrial Cogen,Coal,514.214,1.482,31296
2014,ND,Industrial Cogen,Coal,462.079,1.332,31297
2015,ND,Industrial Cogen,Coal,371.178,1.123,31298
1990,ND,Industrial Cogen,Natural Gas,113.22,0.001,31299
1991,ND,Industrial Cogen,Natural Gas,2.604,0,31300
1992,ND,Industrial Cogen,Natural Gas,3.49,0,31301
1993,ND,Industrial Cogen,Natural Gas,0.563,0,31302
1994,ND,Industrial Cogen,Natural Gas,0.169,0,31303
1995,ND,Industrial Cogen,Natural Gas,1.79,0,31304
1996,ND,Industrial Cogen,Natural Gas,0.698,0,31305
1997,ND,Industrial Cogen,Natural Gas,1.42,0,31306
1998,ND,Industrial Cogen,Natural Gas,1.69,0,31307
1999,ND,Industrial Cogen,Natural Gas,3.706,0,31308
2000,ND,Industrial Cogen,Natural Gas,5.114,0,31309
2001,ND,Industrial Cogen,Natural Gas,5.707,0,31310
2002,ND,Industrial Cogen,Natural Gas,26.638,0,31311
2003,ND,Industrial Cogen,Natural Gas,22.671,0,31312
2004,ND,Industrial Cogen,Natural Gas,28.996,0,31313
2005,ND,Industrial Cogen,Natural Gas,21.564,0,31314
2006,ND,Industrial Cogen,Natural Gas,18.43,0,31315
2007,ND,Industrial Cogen,Natural Gas,42.871,0,31316
2008,ND,Industrial Cogen,Natural Gas,0,0,31317
2009,ND,Industrial Cogen,Natural Gas,54.287,0,31318
2010,ND,Industrial Cogen,Natural Gas,57.292,0,31319
2011,ND,Industrial Cogen,Natural Gas,64.004,0,31320
2012,ND,Industrial Cogen,Natural Gas,78.013,0,31321
2013,ND,Industrial Cogen,Natural Gas,58.375,0,31322
2014,ND,Industrial Cogen,Natural Gas,71.917,0,31323
2015,ND,Industrial Cogen,Natural Gas,72.414,0,31324
1995,ND,Industrial Cogen,Other Biomass,0,0.002,31325
1996,ND,Industrial Cogen,Other Biomass,0,0.001,31326
1997,ND,Industrial Cogen,Other Biomass,0,0.002,31327
1998,ND,Industrial Cogen,Other Biomass,0,0.004,31328
1999,ND,Industrial Cogen,Other Biomass,0,0.002,31329
2000,ND,Industrial Cogen,Other Biomass,0,0.002,31330
2001,ND,Industrial Cogen,Other Biomass,0,0.002,31331
2002,ND,Industrial Cogen,Other Biomass,0,0.047,31332
2003,ND,Industrial Cogen,Other Biomass,0,0.002,31333
2004,ND,Industrial Cogen,Other Biomass,0,0.002,31334
2005,ND,Industrial Cogen,Other Biomass,0,0,31335
2006,ND,Industrial Cogen,Other Biomass,0,0.003,31336
2007,ND,Industrial Cogen,Other Biomass,0,0.001,31337
2008,ND,Industrial Cogen,Other Biomass,0,0.003,31338
2009,ND,Industrial Cogen,Other Biomass,0,0.001,31339
2010,ND,Industrial Cogen,Other Biomass,0,0.001,31340
2011,ND,Industrial Cogen,Other Biomass,0,0.002,31341
2012,ND,Industrial Cogen,Other Biomass,0,0.002,31342
2013,ND,Industrial Cogen,Other Biomass,0,0.002,31343
2014,ND,Industrial Cogen,Other Biomass,0,0.002,31344
2015,ND,Industrial Cogen,Other Biomass,0,0.002,31345
1995,ND,Industrial Cogen,Other Gases,0,0.001,31346
1996,ND,Industrial Cogen,Other Gases,0,0.001,31347
1997,ND,Industrial Cogen,Other Gases,0,0.001,31348
1998,ND,Industrial Cogen,Other Gases,0,0.001,31349
1999,ND,Industrial Cogen,Other Gases,0,0.001,31350
2000,ND,Industrial Cogen,Other Gases,0,0.001,31351
2002,ND,Industrial Cogen,Other Gases,0,0.001,31352
2003,ND,Industrial Cogen,Other Gases,0,0.001,31353
2004,ND,Industrial Cogen,Other Gases,0,0.001,31354
2005,ND,Industrial Cogen,Other Gases,0,0.001,31355
2006,ND,Industrial Cogen,Other Gases,0,0.001,31356
2007,ND,Industrial Cogen,Other Gases,0,0.001,31357
2008,ND,Industrial Cogen,Other Gases,0,0.001,31358
2009,ND,Industrial Cogen,Other Gases,0,0.001,31359
2010,ND,Industrial Cogen,Other Gases,0,0.001,31360
2011,ND,Industrial Cogen,Other Gases,0,0.001,31361
2012,ND,Industrial Cogen,Other Gases,0,0.001,31362
2013,ND,Industrial Cogen,Other Gases,0,0.001,31363
2014,ND,Industrial Cogen,Other Gases,0,0.001,31364
2015,ND,Industrial Cogen,Other Gases,0,0.001,31365
1990,ND,Industrial Cogen,Petroleum,88.29,0.553,31366
1991,ND,Industrial Cogen,Petroleum,94.971,0.595,31367
1992,ND,Industrial Cogen,Petroleum,87.56,0.47,31368
1993,ND,Industrial Cogen,Petroleum,107.818,0.601,31369
1994,ND,Industrial Cogen,Petroleum,59.186,0.368,31370
1995,ND,Industrial Cogen,Petroleum,38.351,0.239,31371
1996,ND,Industrial Cogen,Petroleum,50.379,0.099,31372
1997,ND,Industrial Cogen,Petroleum,44.801,0.089,31373
1998,ND,Industrial Cogen,Petroleum,50.328,0.123,31374
1999,ND,Industrial Cogen,Petroleum,47.629,0.343,31375
2000,ND,Industrial Cogen,Petroleum,47.39,0.316,31376
2001,ND,Industrial Cogen,Petroleum,48.564,0,31377
2002,ND,Industrial Cogen,Petroleum,14.03,0.087,31378
2003,ND,Industrial Cogen,Petroleum,22.149,0.132,31379
2004,ND,Industrial Cogen,Petroleum,7.355,0.044,31380
2005,ND,Industrial Cogen,Petroleum,7.011,0.038,31381
2006,ND,Industrial Cogen,Petroleum,11.443,0.062,31382
2007,ND,Industrial Cogen,Petroleum,12.082,0.063,31383
2008,ND,Industrial Cogen,Petroleum,34.677,0.03,31384
2009,ND,Industrial Cogen,Petroleum,17.402,0.064,31385
2010,ND,Industrial Cogen,Petroleum,13.22,0.035,31386
2011,ND,Industrial Cogen,Petroleum,9.04,0.026,31387
2012,ND,Industrial Cogen,Petroleum,6.758,0.019,31388
2013,ND,Industrial Cogen,Petroleum,3.562,0.01,31389
2014,ND,Industrial Cogen,Petroleum,1.284,0.004,31390
2015,ND,Industrial Cogen,Petroleum,4.257,0.013,31391
1990,NE,Industrial Cogen,Coal,0,1.105,31392
1991,NE,Industrial Cogen,Coal,102.517,0.392,31393
1992,NE,Industrial Cogen,Coal,110.867,1.517,31394
1993,NE,Industrial Cogen,Coal,111.836,2.286,31395
1994,NE,Industrial Cogen,Coal,118.519,2.051,31396
1995,NE,Industrial Cogen,Coal,155.45,0.637,31397
1996,NE,Industrial Cogen,Coal,107.29,0.337,31398
1997,NE,Industrial Cogen,Coal,157.409,0.449,31399
1998,NE,Industrial Cogen,Coal,148.304,0.35,31400
1999,NE,Industrial Cogen,Coal,142.073,0.375,31401
2000,NE,Industrial Cogen,Coal,133.946,0.459,31402
2001,NE,Industrial Cogen,Coal,140.099,0.418,31403
2002,NE,Industrial Cogen,Coal,131.044,1.155,31404
2003,NE,Industrial Cogen,Coal,144.487,1.504,31405
2004,NE,Industrial Cogen,Coal,136.236,0.413,31406
2005,NE,Industrial Cogen,Coal,149.295,0.058,31407
2006,NE,Industrial Cogen,Coal,155.585,0.472,31408
2007,NE,Industrial Cogen,Coal,89.362,0.265,31409
2008,NE,Industrial Cogen,Coal,0,0.832,31410
2009,NE,Industrial Cogen,Coal,157.783,1.497,31411
2010,NE,Industrial Cogen,Coal,682.807,6.648,31412
2011,NE,Industrial Cogen,Coal,1059.52,3.338,31413
2012,NE,Industrial Cogen,Coal,1113.75,0.559,31414
2013,NE,Industrial Cogen,Coal,1065.846,2.09,31415
2014,NE,Industrial Cogen,Coal,1105.511,2.167,31416
2015,NE,Industrial Cogen,Coal,1086.323,0.537,31417
1990,NE,Industrial Cogen,Natural Gas,0,0,31418
1992,NE,Industrial Cogen,Natural Gas,0,0,31419
1993,NE,Industrial Cogen,Natural Gas,0,0,31420
1994,NE,Industrial Cogen,Natural Gas,0,0,31421
1995,NE,Industrial Cogen,Natural Gas,0,0,31422
1996,NE,Industrial Cogen,Natural Gas,18.959,0,31423
1997,NE,Industrial Cogen,Natural Gas,25.651,0,31424
1998,NE,Industrial Cogen,Natural Gas,23.699,0,31425
1999,NE,Industrial Cogen,Natural Gas,28.991,0,31426
2000,NE,Industrial Cogen,Natural Gas,27.993,0,31427
2001,NE,Industrial Cogen,Natural Gas,17.162,0,31428
2010,NE,Industrial Cogen,Natural Gas,47.274,0,31429
2011,NE,Industrial Cogen,Natural Gas,54.307,0,31430
2012,NE,Industrial Cogen,Natural Gas,26.163,0,31431
2013,NE,Industrial Cogen,Natural Gas,0.069,0,31432
2014,NE,Industrial Cogen,Natural Gas,0.718,0,31433
2015,NE,Industrial Cogen,Natural Gas,0.863,0,31434
1996,NH,Industrial Cogen,Natural Gas,1.623,0,31435
1997,NH,Industrial Cogen,Natural Gas,5.523,0,31436
1998,NH,Industrial Cogen,Natural Gas,7.451,0,31437
1999,NH,Industrial Cogen,Natural Gas,64.949,0,31438
2000,NH,Industrial Cogen,Natural Gas,155.578,0.001,31439
2001,NH,Industrial Cogen,Natural Gas,165.793,0,31440
2002,NH,Industrial Cogen,Natural Gas,67.376,0,31441
2003,NH,Industrial Cogen,Natural Gas,259.525,0.001,31442
2004,NH,Industrial Cogen,Natural Gas,147.097,0,31443
2005,NH,Industrial Cogen,Natural Gas,131.298,0,31444
2006,NH,Industrial Cogen,Natural Gas,120.413,0,31445
2007,NH,Industrial Cogen,Natural Gas,58.091,0,31446
2008,NH,Industrial Cogen,Natural Gas,21.196,0,31447
2009,NH,Industrial Cogen,Natural Gas,17.362,0,31448
2010,NH,Industrial Cogen,Natural Gas,18.752,0,31449
2011,NH,Industrial Cogen,Natural Gas,18.549,0,31450
2012,NH,Industrial Cogen,Natural Gas,19.287,0,31451
2013,NH,Industrial Cogen,Natural Gas,19.358,0,31452
2014,NH,Industrial Cogen,Natural Gas,19.358,0,31453
2015,NH,Industrial Cogen,Natural Gas,19.063,0,31454
1990,NH,Industrial Cogen,Other,0,0.006,31455
1991,NH,Industrial Cogen,Other,0,0.006,31456
1992,NH,Industrial Cogen,Other,0,0.006,31457
1993,NH,Industrial Cogen,Other,0,0.006,31458
1994,NH,Industrial Cogen,Other,0,0.005,31459
1990,NH,Industrial Cogen,Petroleum,30.019,0.125,31460
1991,NH,Industrial Cogen,Petroleum,23.051,0.102,31461
1992,NH,Industrial Cogen,Petroleum,30.019,0.104,31462
1993,NH,Industrial Cogen,Petroleum,25.964,0.073,31463
1994,NH,Industrial Cogen,Petroleum,33.709,0.11,31464
1995,NH,Industrial Cogen,Petroleum,35.836,0.126,31465
1996,NH,Industrial Cogen,Petroleum,35.696,0.129,31466
1997,NH,Industrial Cogen,Petroleum,33.184,0.16,31467
1998,NH,Industrial Cogen,Petroleum,236.846,1.593,31468
1999,NH,Industrial Cogen,Petroleum,168.004,1.057,31469
2000,NH,Industrial Cogen,Petroleum,29.159,0.113,31470
2001,NH,Industrial Cogen,Petroleum,21.575,0.025,31471
2002,NH,Industrial Cogen,Petroleum,8.955,0.023,31472
2003,NH,Industrial Cogen,Petroleum,12.077,0.031,31473
2004,NH,Industrial Cogen,Petroleum,7.722,0.018,31474
2005,NH,Industrial Cogen,Petroleum,9.679,0.005,31475
2006,NH,Industrial Cogen,Petroleum,11.183,0.039,31476
2007,NH,Industrial Cogen,Petroleum,3.343,0.007,31477
2008,NH,Industrial Cogen,Petroleum,0.89,0.002,31478
2009,NH,Industrial Cogen,Petroleum,1.306,0.003,31479
2010,NH,Industrial Cogen,Petroleum,0.697,0.001,31480
2011,NH,Industrial Cogen,Petroleum,0.254,0.001,31481
2012,NH,Industrial Cogen,Petroleum,0.151,0,31482
2013,NH,Industrial Cogen,Petroleum,0.208,0,31483
2014,NH,Industrial Cogen,Petroleum,0.058,0,31484
2015,NH,Industrial Cogen,Petroleum,0.066,0,31485
1995,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.012,31486
1996,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.028,31487
1997,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.011,31488
1998,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.004,31489
1999,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.004,31490
2000,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.003,31491
2001,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.004,31492
2002,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.004,31493
2003,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.003,31494
2004,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.003,31495
2005,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0,31496
2006,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.003,31497
2007,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.002,31498
2008,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.002,31499
2009,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.002,31500
2010,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.002,31501
2011,NH,Industrial Cogen,Wood and Wood Derived Fuels,0,0.001,31502
1990,NJ,Industrial Cogen,Natural Gas,670.651,0.003,31503
1991,NJ,Industrial Cogen,Natural Gas,1047.551,0.004,31504
1992,NJ,Industrial Cogen,Natural Gas,1740.652,0.006,31505
1993,NJ,Industrial Cogen,Natural Gas,1703.173,0.007,31506
1994,NJ,Industrial Cogen,Natural Gas,1702.824,0.007,31507
1995,NJ,Industrial Cogen,Natural Gas,1772.87,0.01,31508
1996,NJ,Industrial Cogen,Natural Gas,1973.029,0.008,31509
1997,NJ,Industrial Cogen,Natural Gas,1651.253,0.007,31510
1998,NJ,Industrial Cogen,Natural Gas,1676.35,0.004,31511
1999,NJ,Industrial Cogen,Natural Gas,1828.761,0.007,31512
2000,NJ,Industrial Cogen,Natural Gas,1797.928,0.007,31513
2001,NJ,Industrial Cogen,Natural Gas,2038.101,0.003,31514
2002,NJ,Industrial Cogen,Natural Gas,1797.125,0.001,31515
2003,NJ,Industrial Cogen,Natural Gas,952.831,0.003,31516
2004,NJ,Industrial Cogen,Natural Gas,1077.989,0.002,31517
2005,NJ,Industrial Cogen,Natural Gas,969.387,0.002,31518
2006,NJ,Industrial Cogen,Natural Gas,786.97,0.001,31519
2007,NJ,Industrial Cogen,Natural Gas,433.359,0.001,31520
2008,NJ,Industrial Cogen,Natural Gas,472.656,0.002,31521
2009,NJ,Industrial Cogen,Natural Gas,429.069,0.001,31522
2010,NJ,Industrial Cogen,Natural Gas,500.044,0.002,31523
2011,NJ,Industrial Cogen,Natural Gas,442.749,0.001,31524
2012,NJ,Industrial Cogen,Natural Gas,386.097,0.001,31525
2013,NJ,Industrial Cogen,Natural Gas,344.265,0.001,31526
2014,NJ,Industrial Cogen,Natural Gas,337.574,0.001,31527
2015,NJ,Industrial Cogen,Natural Gas,327.89,0.001,31528
1990,NJ,Industrial Cogen,Other,0,0,31529
1998,NJ,Industrial Cogen,Other,0,0,31530
1999,NJ,Industrial Cogen,Other,0,0,31531
1995,NJ,Industrial Cogen,Other Biomass,0,0.111,31532
1996,NJ,Industrial Cogen,Other Biomass,0,0.194,31533
1997,NJ,Industrial Cogen,Other Biomass,0,0.144,31534
1998,NJ,Industrial Cogen,Other Biomass,0,0.051,31535
1999,NJ,Industrial Cogen,Other Biomass,0,0.126,31536
2000,NJ,Industrial Cogen,Other Biomass,0,0.09,31537
2001,NJ,Industrial Cogen,Other Biomass,0,0,31538
2002,NJ,Industrial Cogen,Other Biomass,0,0,31539
2004,NJ,Industrial Cogen,Other Biomass,0,0,31540
2005,NJ,Industrial Cogen,Other Biomass,0,0,31541
2006,NJ,Industrial Cogen,Other Biomass,0,0,31542
2007,NJ,Industrial Cogen,Other Biomass,0,0.054,31543
2008,NJ,Industrial Cogen,Other Biomass,0,0.056,31544
1995,NJ,Industrial Cogen,Other Gases,0,0,31545
1996,NJ,Industrial Cogen,Other Gases,0,0.001,31546
1997,NJ,Industrial Cogen,Other Gases,0,0.001,31547
1998,NJ,Industrial Cogen,Other Gases,0,0.004,31548
1999,NJ,Industrial Cogen,Other Gases,0,0.003,31549
2000,NJ,Industrial Cogen,Other Gases,0,0.003,31550
2001,NJ,Industrial Cogen,Other Gases,0,0.001,31551
2002,NJ,Industrial Cogen,Other Gases,0,0.001,31552
2003,NJ,Industrial Cogen,Other Gases,0.307,0.003,31553
2004,NJ,Industrial Cogen,Other Gases,70.961,0.004,31554
2005,NJ,Industrial Cogen,Other Gases,0.135,0.006,31555
2006,NJ,Industrial Cogen,Other Gases,0,0.008,31556
2007,NJ,Industrial Cogen,Other Gases,0,0.005,31557
2008,NJ,Industrial Cogen,Other Gases,0,0.005,31558
2009,NJ,Industrial Cogen,Other Gases,0.082,0.002,31559
2010,NJ,Industrial Cogen,Other Gases,0.063,0.002,31560
2011,NJ,Industrial Cogen,Other Gases,0.041,0.002,31561
2012,NJ,Industrial Cogen,Other Gases,0,0.002,31562
2013,NJ,Industrial Cogen,Other Gases,0,0.003,31563
2014,NJ,Industrial Cogen,Other Gases,0,0.007,31564
2015,NJ,Industrial Cogen,Other Gases,0,0.003,31565
1990,NJ,Industrial Cogen,Petroleum,554.434,2.924,31566
1991,NJ,Industrial Cogen,Petroleum,588.463,1.858,31567
1992,NJ,Industrial Cogen,Petroleum,310.286,0.657,31568
1993,NJ,Industrial Cogen,Petroleum,246.669,0.553,31569
1994,NJ,Industrial Cogen,Petroleum,313.633,0.86,31570
1995,NJ,Industrial Cogen,Petroleum,238.731,1.231,31571
1996,NJ,Industrial Cogen,Petroleum,319.82,1.487,31572
1997,NJ,Industrial Cogen,Petroleum,228.806,1.174,31573
1998,NJ,Industrial Cogen,Petroleum,163.669,0.768,31574
1999,NJ,Industrial Cogen,Petroleum,142.092,0.37,31575
2000,NJ,Industrial Cogen,Petroleum,140.413,0.363,31576
2001,NJ,Industrial Cogen,Petroleum,211.807,0.335,31577
2002,NJ,Industrial Cogen,Petroleum,110.585,0.066,31578
2003,NJ,Industrial Cogen,Petroleum,197.384,0.367,31579
2004,NJ,Industrial Cogen,Petroleum,160.711,0.425,31580
2005,NJ,Industrial Cogen,Petroleum,115.357,0.273,31581
2006,NJ,Industrial Cogen,Petroleum,141.103,0.259,31582
2007,NJ,Industrial Cogen,Petroleum,1.255,0.062,31583
2008,NJ,Industrial Cogen,Petroleum,2.782,0,31584
2009,NJ,Industrial Cogen,Petroleum,11.06,0.003,31585
2010,NJ,Industrial Cogen,Petroleum,12.469,0.007,31586
2011,NJ,Industrial Cogen,Petroleum,23.353,0.577,31587
2012,NJ,Industrial Cogen,Petroleum,34.98,1.046,31588
2013,NJ,Industrial Cogen,Petroleum,24.903,0.55,31589
2014,NJ,Industrial Cogen,Petroleum,17.035,0.443,31590
2015,NJ,Industrial Cogen,Petroleum,38.129,0.65,31591
1990,NM,Industrial Cogen,Natural Gas,72.374,0,31592
1991,NM,Industrial Cogen,Natural Gas,98.335,0,31593
1992,NM,Industrial Cogen,Natural Gas,96.834,0,31594
1993,NM,Industrial Cogen,Natural Gas,113.075,0,31595
1994,NM,Industrial Cogen,Natural Gas,110.831,0,31596
1995,NM,Industrial Cogen,Natural Gas,122.669,0,31597
1996,NM,Industrial Cogen,Natural Gas,122.671,0,31598
1997,NM,Industrial Cogen,Natural Gas,114.097,0,31599
1998,NM,Industrial Cogen,Natural Gas,107.659,0,31600
1999,NM,Industrial Cogen,Natural Gas,76.961,0,31601
2000,NM,Industrial Cogen,Natural Gas,82.94,0,31602
2001,NM,Industrial Cogen,Natural Gas,78.103,0,31603
2002,NM,Industrial Cogen,Natural Gas,27.979,0,31604
2003,NM,Industrial Cogen,Natural Gas,35.513,0,31605
2004,NM,Industrial Cogen,Natural Gas,11.546,0,31606
2005,NM,Industrial Cogen,Natural Gas,0.618,0,31607
2006,NM,Industrial Cogen,Natural Gas,4.729,0,31608
2007,NM,Industrial Cogen,Natural Gas,1.204,0,31609
2008,NM,Industrial Cogen,Natural Gas,1.204,0,31610
1990,NM,Industrial Cogen,Petroleum,0.986,0.004,31611
1991,NM,Industrial Cogen,Petroleum,0.284,0.001,31612
1992,NM,Industrial Cogen,Petroleum,0.986,0.004,31613
1993,NM,Industrial Cogen,Petroleum,5.191,0.016,31614
1994,NM,Industrial Cogen,Petroleum,1.666,0.005,31615
1995,NM,Industrial Cogen,Petroleum,2.699,0.006,31616
1996,NM,Industrial Cogen,Petroleum,2.548,0.005,31617
1997,NM,Industrial Cogen,Petroleum,0.878,0.002,31618
1998,NM,Industrial Cogen,Petroleum,0.882,0.002,31619
1999,NM,Industrial Cogen,Petroleum,0.839,0.002,31620
2000,NM,Industrial Cogen,Petroleum,1.95,0.008,31621
2001,NM,Industrial Cogen,Petroleum,2.271,0,31622
1990,NY,Industrial Cogen,Coal,2264.65,32.725,31623
1991,NY,Industrial Cogen,Coal,2465.682,35.563,31624
1992,NY,Industrial Cogen,Coal,2317.092,35.232,31625
1993,NY,Industrial Cogen,Coal,2431.58,33.657,31626
1994,NY,Industrial Cogen,Coal,2400.939,33.11,31627
1995,NY,Industrial Cogen,Coal,2278.36,17.677,31628
1996,NY,Industrial Cogen,Coal,2114.293,26.66,31629
1997,NY,Industrial Cogen,Coal,2076.214,26.149,31630
1998,NY,Industrial Cogen,Coal,1983.433,23.827,31631
1999,NY,Industrial Cogen,Coal,1859.978,21.719,31632
2000,NY,Industrial Cogen,Coal,1922.742,15.18,31633
2001,NY,Industrial Cogen,Coal,1934.766,24.294,31634
2002,NY,Industrial Cogen,Coal,1768.493,20.729,31635
2003,NY,Industrial Cogen,Coal,1595.071,18.292,31636
2004,NY,Industrial Cogen,Coal,1626.394,18.704,31637
2005,NY,Industrial Cogen,Coal,1610.794,17.646,31638
2006,NY,Industrial Cogen,Coal,1325.568,14.235,31639
2007,NY,Industrial Cogen,Coal,1122.636,12.082,31640
2008,NY,Industrial Cogen,Coal,1090.357,14.34,31641
2009,NY,Industrial Cogen,Coal,956.346,11.565,31642
2010,NY,Industrial Cogen,Coal,916.611,11.603,31643
2011,NY,Industrial Cogen,Coal,886.68,10.638,31644
2012,NY,Industrial Cogen,Coal,813.474,10.169,31645
2013,NY,Industrial Cogen,Coal,793.769,8.122,31646
2014,NY,Industrial Cogen,Coal,730.334,8.866,31647
2015,NY,Industrial Cogen,Coal,700.206,7.754,31648
1990,NY,Industrial Cogen,Natural Gas,512.42,0.002,31649
1991,NY,Industrial Cogen,Natural Gas,647.594,0.003,31650
1992,NY,Industrial Cogen,Natural Gas,919.14,0.006,31651
1993,NY,Industrial Cogen,Natural Gas,951.858,0.005,31652
1994,NY,Industrial Cogen,Natural Gas,1058.054,0.006,31653
1995,NY,Industrial Cogen,Natural Gas,1309.474,0.01,31654
1996,NY,Industrial Cogen,Natural Gas,1250.796,0.006,31655
1997,NY,Industrial Cogen,Natural Gas,1342.523,0.008,31656
1998,NY,Industrial Cogen,Natural Gas,1096.162,0.006,31657
1999,NY,Industrial Cogen,Natural Gas,1002.249,0.004,31658
2000,NY,Industrial Cogen,Natural Gas,922.97,0.004,31659
2001,NY,Industrial Cogen,Natural Gas,750.774,0.002,31660
2002,NY,Industrial Cogen,Natural Gas,827.645,0.002,31661
2003,NY,Industrial Cogen,Natural Gas,728.48,0.001,31662
2004,NY,Industrial Cogen,Natural Gas,338.997,0.002,31663
2005,NY,Industrial Cogen,Natural Gas,299.438,0.001,31664
2006,NY,Industrial Cogen,Natural Gas,333.647,0.001,31665
2007,NY,Industrial Cogen,Natural Gas,283.176,0.001,31666
2008,NY,Industrial Cogen,Natural Gas,306.552,0.001,31667
2009,NY,Industrial Cogen,Natural Gas,302.876,0.001,31668
2010,NY,Industrial Cogen,Natural Gas,293.147,0.001,31669
2011,NY,Industrial Cogen,Natural Gas,271.129,0.001,31670
2012,NY,Industrial Cogen,Natural Gas,239.869,0,31671
2013,NY,Industrial Cogen,Natural Gas,217.584,0,31672
2014,NY,Industrial Cogen,Natural Gas,220.966,0,31673
2015,NY,Industrial Cogen,Natural Gas,265.262,0,31674
1990,NY,Industrial Cogen,Other,19.281,6.449,31675
1991,NY,Industrial Cogen,Other,21.585,6.747,31676
1992,NY,Industrial Cogen,Other,21.26,6.259,31677
1993,NY,Industrial Cogen,Other,11.818,6.322,31678
1994,NY,Industrial Cogen,Other,5.121,2.192,31679
1996,NY,Industrial Cogen,Other,3.869,0.04,31680
2000,NY,Industrial Cogen,Other Biomass,0,0.025,31681
1995,NY,Industrial Cogen,Other Gases,0,0.002,31682
1996,NY,Industrial Cogen,Other Gases,0,0.002,31683
1997,NY,Industrial Cogen,Other Gases,0,0.002,31684
1998,NY,Industrial Cogen,Other Gases,0,0.002,31685
1999,NY,Industrial Cogen,Other Gases,0,0.002,31686
2000,NY,Industrial Cogen,Other Gases,0,0.001,31687
1990,NY,Industrial Cogen,Petroleum,781.715,6.608,31688
1991,NY,Industrial Cogen,Petroleum,707.425,6.106,31689
1992,NY,Industrial Cogen,Petroleum,822.193,0.246,31690
1993,NY,Industrial Cogen,Petroleum,802.587,0.2,31691
1994,NY,Industrial Cogen,Petroleum,812.353,0.355,31692
1995,NY,Industrial Cogen,Petroleum,377.433,2.265,31693
1996,NY,Industrial Cogen,Petroleum,546.308,3.518,31694
1997,NY,Industrial Cogen,Petroleum,418.462,2.701,31695
1998,NY,Industrial Cogen,Petroleum,500.395,3.499,31696
1999,NY,Industrial Cogen,Petroleum,375.879,2.546,31697
2000,NY,Industrial Cogen,Petroleum,468.844,2.905,31698
2001,NY,Industrial Cogen,Petroleum,427.066,1.647,31699
2002,NY,Industrial Cogen,Petroleum,442.12,0.707,31700
2003,NY,Industrial Cogen,Petroleum,421.144,1.722,31701
2004,NY,Industrial Cogen,Petroleum,565.6,1.845,31702
2005,NY,Industrial Cogen,Petroleum,554.971,1.776,31703
2006,NY,Industrial Cogen,Petroleum,363.27,2.125,31704
2007,NY,Industrial Cogen,Petroleum,406.159,1.872,31705
2008,NY,Industrial Cogen,Petroleum,114.461,0.219,31706
2009,NY,Industrial Cogen,Petroleum,127.384,0.359,31707
2010,NY,Industrial Cogen,Petroleum,102.378,0.143,31708
2011,NY,Industrial Cogen,Petroleum,101.156,0.135,31709
2012,NY,Industrial Cogen,Petroleum,80.795,0.141,31710
2013,NY,Industrial Cogen,Petroleum,95.171,0.239,31711
2014,NY,Industrial Cogen,Petroleum,98.645,0.242,31712
2015,NY,Industrial Cogen,Petroleum,75.833,0.201,31713
1995,NY,Industrial Cogen,Wood and Wood Derived Fuels,0,1.614,31714
1996,NY,Industrial Cogen,Wood and Wood Derived Fuels,0,1.934,31715
1997,NY,Industrial Cogen,Wood and Wood Derived Fuels,0,1.944,31716
1998,NY,Industrial Cogen,Wood and Wood Derived Fuels,0,1.957,31717
1999,NY,Industrial Cogen,Wood and Wood Derived Fuels,0,2.08,31718
